nodes  	45
1	0.	0.	0.
2	0.5	0.	0.
3	1.	0.	0.
4	0.	0.5	0.
5	0.5	0.5	0.
6	1.	0.5	0.
7	0.	1.	0.
8	0.5	1.	0.
9	1.	1.	0.
10	0.	0.	0.25
11	0.5	0.	0.25
12	1.	0.	0.25
13	0.	0.5	0.25
14	0.5	0.5	0.25
15	1.	0.5	0.25
16	0.	1.	0.25
17	0.5	1.	0.25
18	1.	1.	0.25
19	0.	0.	0.5
20	0.5	0.	0.5
21	1.	0.	0.5
22	0.	0.5	0.5
23	0.5	0.5	0.5
24	1.	0.5	0.5
25	0.	1.	0.5
26	0.5	1.	0.5
27	1.	1.	0.5
28	0.	0.	0.75
29	0.5	0.	0.75
30	1.	0.	0.75
31	0.	0.5	0.75
32	0.5	0.5	0.75
33	1.	0.5	0.75
34	0.	1.	0.75
35	0.5	1.	0.75
36	1.	1.	0.75
37	0.	0.	1.
38	0.5	0.	1.
39	1.	0.	1.
40	0.	0.5	1.
41	0.5	0.5	1.
42	1.	0.5	1.
43	0.	1.	1.
44	0.5	1.	1.
45	1.	1.	1.
elements  	16
1	1	2	4	5	10	11	13	14
2	2	3	5	6	11	12	14	15
3	4	5	7	8	13	14	16	17
4	5	6	8	9	14	15	17	18
5	10	11	13	14	19	20	22	23
6	11	12	14	15	20	21	23	24
7	13	14	16	17	22	23	25	26
8	14	15	17	18	23	24	26	27
9	19	20	22	23	28	29	31	32
10	20	21	23	24	29	30	32	33
11	22	23	25	26	31	32	34	35
12	23	24	26	27	32	33	35	36
13	28	29	31	32	37	38	40	41
14	29	30	32	33	38	39	41	42
15	31	32	34	35	40	41	43	44
16	32	33	35	36	41	42	44	45
boundaryconditions  	87
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
1	1	0
4	1	0
7	1	0
10	1	0
13	1	0
16	1	0
19	1	0
22	1	0
25	1	0
28	1	0
31	1	0
34	1	0
37	1	0
40	1	0
43	1	0
3	1	0
6	1	0
9	1	0
12	1	0
15	1	0
18	1	0
21	1	0
24	1	0
27	1	0
30	1	0
33	1	0
36	1	0
39	1	0
42	1	0
45	1	0
1	2	0
2	2	0
3	2	0
10	2	0
11	2	0
12	2	0
19	2	0
20	2	0
21	2	0
28	2	0
29	2	0
30	2	0
37	2	0
38	2	0
39	2	0
7	2	0
8	2	0
9	2	0
16	2	0
17	2	0
18	2	0
25	2	0
26	2	0
27	2	0
34	2	0
35	2	0
36	2	0
43	2	0
44	2	0
45	2	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
6	3	0
7	3	0
8	3	0
9	3	0
nodalforces  	4
37	3	-2.5
38	3	-2.5
40	3	-2.5
41	3	-2.5
